web-scraper-order,web-scraper-start-url,berita,berita-href
"1591761262-65","https://kumparan.com/search/haji%202020/","327 Peserta Berebut Kuota 30 Petugas Haji Aceh 2020","https://kumparan.com/acehkini/327-peserta-berebut-kuota-30-petugas-haji-aceh-2020-1slijgEcQJ9"
"1591761262-159","https://kumparan.com/search/haji%202020/","Cerita Pasutri di Probolinggo Gagal Berhaji: Sudah Nabung Bertahun-tahun","https://kumparan.com/kabarpaspasuruan/cerita-pasutri-di-probolinggo-gagal-berhaji-sudah-nabung-bertahun-tahun-1tXctkz6Ugz"
"1591761262-149","https://kumparan.com/search/haji%202020/","Tamu-tamu Allah yang Tertunda Corona","https://kumparan.com/kumparannews/tamu-tamu-allah-yang-tertunda-corona-1tZ38mxmO0h"
"1591761262-155","https://kumparan.com/search/haji%202020/","Berita Populer: Jokowi Teken PP Tapera hingga Jumlah Gaji TKA China di Indonesia","https://kumparan.com/kumparanbisnis/berita-populer-jokowi-teken-pp-tapera-hingga-jumlah-gaji-tka-china-di-indonesia-1tXQTNTSMML"
"1591761262-141","https://kumparan.com/search/haji%202020/","Podcast: Benarkah Beriktikaf di 10 Hari Terakhir Ramadhan Seperti Haji Dua Kali?","https://kumparan.com/beritaanaksurabaya/podcast-benarkah-beriktikaf-di-10-hari-terakhir-ramadhan-seperti-haji-dua-kali-1tQJpICIFc0"
"1591761262-132","https://kumparan.com/search/haji%202020/","Kemenag Sumut Ungkap Ada 8.328 Jemaah Batal Haji: Ini Penyelamatan Jiwa","https://kumparan.com/kumparannews/kemenag-sumut-ungkap-ada-8-328-jemaah-batal-haji-ini-penyelamatan-jiwa-1tXD5K8JxS0"
"1591761262-130","https://kumparan.com/search/haji%202020/","Imigrasi Sanggau Tetap Berikan Layanan Paspor untuk Calon Jemaah Haji Sekadau","https://kumparan.com/hipontianak/imigrasi-sanggau-tetap-berikan-layanan-paspor-untuk-calon-jemaah-haji-sekadau-1tXafPndrDf"
"1591761262-103","https://kumparan.com/search/haji%202020/","Kemenag: Pelunasan Biaya Haji Mulai 19 Maret","https://kumparan.com/kumparannews/kemenag-pelunasan-biaya-haji-mulai-19-maret-1t2N2q7ZNTZ"
"1591761262-74","https://kumparan.com/search/haji%202020/","Cegah COVID-19, Kemenag Perpanjang Jadwal Pelunasan Biaya Haji 2020","https://kumparan.com/kumparannews/cegah-covid-19-kemenag-perpanjang-jadwal-pelunasan-biaya-haji-2020-1t5V26xAgR9"
"1591761262-121","https://kumparan.com/search/haji%202020/","Imbas Corona, Ratusan Calon Jemaah Haji Halmahera Barat Batal Berangkat","https://kumparan.com/ceritamalukuutara/imbas-corona-ratusan-calon-jemaah-haji-halmahera-barat-batal-berangkat-1tX9F3w6LH5"
"1591761262-83","https://kumparan.com/search/haji%202020/","Ibadah Haji 2020 Ditiadakan karena Corona, 4.187 CJH Asal Aceh Batal Berangkat","https://kumparan.com/acehkini/ibadah-haji-2020-ditiadakan-karena-corona-4-187-cjh-asal-aceh-batal-berangkat-1tXCD3B3NPT"
"1591761262-70","https://kumparan.com/search/haji%202020/","Haji 2020 Ditiadakan, Pengelola Diminta Transparan soal Penggunaan Dana Jemaah","https://kumparan.com/kumparanbisnis/haji-2020-ditiadakan-pengelola-diminta-transparan-soal-penggunaan-dana-jemaah-1tY05ExDXhV"
"1591761262-122","https://kumparan.com/search/haji%202020/","Sudah 177.785 Jemaah Reguler dan 12.720 Jemaah Khusus Lunasi Biaya Haji","https://kumparan.com/kumparannews/sudah-177-785-jemaah-reguler-dan-12-720-jemaah-khusus-lunasi-biaya-haji-1tJnYvqdLtQ"
"1591761262-26","https://kumparan.com/search/haji%202020/","Ibadah Haji 2020 Ditiadakan, Pengusaha Travel Angkat Bicara","https://kumparan.com/kumparanbisnis/ibadah-haji-2020-ditiadakan-pengusaha-travel-angkat-bicara-1tX9jluYuXW"
"1591761262-81","https://kumparan.com/search/haji%202020/","Gagal Berangkat, Calon Jemaah Haji 2020 Boleh Minta Uang BPIH Dikembalikan","https://kumparan.com/kumparannews/gagal-berangkat-calon-jemaah-haji-2020-boleh-minta-uang-bpih-dikembalikan-1tX6psgf8HH"
